"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX6479989","Targeted sequencing","Homo sapiens","Illumina MiSeq","Broad Institute of MIT and Harvard","SRP215790","Efficient, continuous mutagenesis in human cells using a pseudo-random DNA editor","SRS5130116","","31.76","1","340188","92214763","9","AMPLICON","GENOMIC","PCR"
"SRX6479988","Targeted sequencing","Homo sapiens","Illumina MiSeq","Broad Institute of MIT and Harvard","SRP215790","Efficient, continuous mutagenesis in human cells using a pseudo-random DNA editor","SRS5130116","","6.12","1","80756","17440284","12","AMPLICON","GENOMIC","PCR"
"SRX6479987","Targeted sequencing","Homo sapiens","Illumina MiSeq","Broad Institute of MIT and Harvard","SRP215790","Efficient, continuous mutagenesis in human cells using a pseudo-random DNA editor","SRS5130116","","18.43","1","200725","54556024","11","AMPLICON","GENOMIC","PCR"
"SRX6479986","Targeted sequencing","Homo sapiens","Illumina MiSeq","Broad Institute of MIT and Harvard","SRP215790","Efficient, continuous mutagenesis in human cells using a pseudo-random DNA editor","SRS5130116","","25.89","1","272913","71616595","14","AMPLICON","GENOMIC","PCR"
"SRX6479985","Targeted sequencing","Homo sapiens","Illumina MiSeq","Broad Institute of MIT and Harvard","SRP215790","Efficient, continuous mutagenesis in human cells using a pseudo-random DNA editor","SRS5130116","","38.5","1","418308","115508114","13","AMPLICON","GENOMIC","PCR"
"SRX6479984","Targeted sequencing","Homo sapiens","Illumina MiSeq","Broad Institute of MIT and Harvard","SRP215790","Efficient, continuous mutagenesis in human cells using a pseudo-random DNA editor","SRS5130116","","19.76","1","219883","58780302","15","AMPLICON","GENOMIC","PCR"
"SRX6479978","On target sequencing","Homo sapiens","Illumina MiSeq","Broad Institute of MIT and Harvard","SRP215790","Efficient, continuous mutagenesis in human cells using a pseudo-random DNA editor","SRS5130110","","6.06","1","174109","29598693","14","AMPLICON","GENOMIC","PCR"
"SRX6479977","On target sequencing","Homo sapiens","Illumina MiSeq","Broad Institute of MIT and Harvard","SRP215790","Efficient, continuous mutagenesis in human cells using a pseudo-random DNA editor","SRS5130110","","8.28","1","238244","40181864","13","AMPLICON","GENOMIC","PCR"
"SRX6479976","On target sequencing","Homo sapiens","Illumina MiSeq","Broad Institute of MIT and Harvard","SRP215790","Efficient, continuous mutagenesis in human cells using a pseudo-random DNA editor","SRS5130110","","8.17","1","222997","38116343","12","AMPLICON","GENOMIC","PCR"
"SRX6479975","On target sequencing","Homo sapiens","Illumina MiSeq","Broad Institute of MIT and Harvard","SRP215790","Efficient, continuous mutagenesis in human cells using a pseudo-random DNA editor","SRS5130110","","7.74","1","224791","38180803","11","AMPLICON","GENOMIC","PCR"
"SRX6479974","On target sequencing","Homo sapiens","Illumina MiSeq","Broad Institute of MIT and Harvard","SRP215790","Efficient, continuous mutagenesis in human cells using a pseudo-random DNA editor","SRS5130110","","6.24","1","183652","30447220","15","AMPLICON","GENOMIC","PCR"
"SRX6479973","On target sequencing","Homo sapiens","Illumina MiSeq","Broad Institute of MIT and Harvard","SRP215790","Efficient, continuous mutagenesis in human cells using a pseudo-random DNA editor","SRS5130110","","8.26","1","224877","38417670","10","AMPLICON","GENOMIC","PCR"
"SRX6479972","On target sequencing","Homo sapiens","Illumina MiSeq","Broad Institute of MIT and Harvard","SRP215790","Efficient, continuous mutagenesis in human cells using a pseudo-random DNA editor","SRS5130110","","5.14","1","141232","24120151","9","AMPLICON","GENOMIC","PCR"
"SRX6479971","On target sequencing","Homo sapiens","Illumina MiSeq","Broad Institute of MIT and Harvard","SRP215790","Efficient, continuous mutagenesis in human cells using a pseudo-random DNA editor","SRS5130110","","8.06","1","235895","39785651","2","AMPLICON","GENOMIC","PCR"
"SRX6479970","On target sequencing","Homo sapiens","Illumina MiSeq","Broad Institute of MIT and Harvard","SRP215790","Efficient, continuous mutagenesis in human cells using a pseudo-random DNA editor","SRS5130110","","7.66","1","212311","35732394","1","AMPLICON","GENOMIC","PCR"
"SRX6479969","On target sequencing","Homo sapiens","Illumina MiSeq","Broad Institute of MIT and Harvard","SRP215790","Efficient, continuous mutagenesis in human cells using a pseudo-random DNA editor","SRS5130110","","6.49","1","188645","31701775","4","AMPLICON","GENOMIC","PCR"
"SRX6479968","On target sequencing","Homo sapiens","Illumina MiSeq","Broad Institute of MIT and Harvard","SRP215790","Efficient, continuous mutagenesis in human cells using a pseudo-random DNA editor","SRS5130110","","9.56","1","281646","47679024","3","AMPLICON","GENOMIC","PCR"
"SRX6479967","On target sequencing","Homo sapiens","Illumina MiSeq","Broad Institute of MIT and Harvard","SRP215790","Efficient, continuous mutagenesis in human cells using a pseudo-random DNA editor","SRS5130110","","4.26","1","121807","20618464","6","AMPLICON","GENOMIC","PCR"
"SRX6479966","On target sequencing","Homo sapiens","Illumina MiSeq","Broad Institute of MIT and Harvard","SRP215790","Efficient, continuous mutagenesis in human cells using a pseudo-random DNA editor","SRS5130110","","5.94","1","165130","28035191","5","AMPLICON","GENOMIC","PCR"
"SRX6479965","On target sequencing","Homo sapiens","Illumina MiSeq","Broad Institute of MIT and Harvard","SRP215790","Efficient, continuous mutagenesis in human cells using a pseudo-random DNA editor","SRS5130110","","7.68","1","229667","38836448","8","AMPLICON","GENOMIC","PCR"
"SRX6479964","On target sequencing","Homo sapiens","Illumina MiSeq","Broad Institute of MIT and Harvard","SRP215790","Efficient, continuous mutagenesis in human cells using a pseudo-random DNA editor","SRS5130110","","10.92","1","312137","52762199","7","AMPLICON","GENOMIC","PCR"
